Price,Currency,Location,Rooms,Area,Floor
735 000,AZN,Nizami m.,4 otaqlı,157 m²,9/18 mərtəbə
120 000,AZN,Həzi Aslanov m.,2 otaqlı,52 m²,4/9 mərtəbə
370 650,AZN,Yasamal r.,3 otaqlı,123.5 m²,6/14 mərtəbə
292 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,106.3 m²,16/17 mərtəbə
243 000,AZN,Həzi Aslanov m.,3 otaqlı,95 m²,6/16 mərtəbə
216 500,AZN,Azadlıq Prospekti m.,2 otaqlı,88 m²,11/17 mərtəbə
185 000,AZN,Nəriman Nərimanov m.,2 otaqlı,65 m²,11/16 mərtəbə
329 999,AZN,Nəriman Nərimanov m.,3 otaqlı,148.8 m²,9/18 mərtəbə
209 000,AZN,Elmlər Akademiyası m.,2 otaqlı,74 m²,15/23 mərtəbə
659 000,AZN,İçəri Şəhər m.,5 otaqlı,256 m²,5/15 mərtəbə
260 000,AZN,Şah İsmayıl Xətai m.,2 otaqlı,79 m²,6/17 mərtəbə
190 000,AZN,Xətai r.,3 otaqlı,92 m²,16/17 mərtəbə
261 000,AZN,Elmlər Akademiyası m.,2 otaqlı,94 m²,5/17 mərtəbə
120 000,AZN,Həzi Aslanov m.,2 otaqlı,63 m²,5/9 mərtəbə
585 000,AZN,28 May m.,4 otaqlı,200 m²,13/18 mərtəbə
135 000,AZN,Həzi Aslanov m.,3 otaqlı,60 m²,6/9 mərtəbə
358 000,AZN,Nəsimi r.,3 otaqlı,126 m²,9/16 mərtəbə
303 000,AZN,Ağ şəhər q.,2 otaqlı,90 m²,2/7 mərtəbə
550 000,AZN,Xətai r.,3 otaqlı,100 m²,3/7 mərtəbə
169 000,AZN,Neftçilər m.,2 otaqlı,91 m²,15/17 mərtəbə
229 500,AZN,Ağ şəhər q.,2 otaqlı,51 m²,2/7 mərtəbə
316 000,AZN,Nərimanov r.,4 otaqlı,135 m²,13/14 mərtəbə
299 000,AZN,Qara Qarayev m.,3 otaqlı,120 m²,15/17 mərtəbə
328 000,AZN,Ağ şəhər q.,3 otaqlı,83 m²,7/7 mərtəbə
749 000,AZN,Ağ şəhər q.,3 otaqlı,120 m²,16/20 mərtəbə
165 000,AZN,Neftçilər m.,2 otaqlı,67 m²,15/18 mərtəbə
225 000,AZN,İnşaatçılar m.,2 otaqlı,100 m²,16/18 mərtəbə
185 000,AZN,Xalqlar Dostluğu m.,3 otaqlı,120 m²,14/19 mərtəbə
212 000,AZN,Qaradağ r.,3 otaqlı,136.6 m²,14/14 mərtəbə
155 000,AZN,Xətai r.,3 otaqlı,115 m²,19/21 mərtəbə
360 000,AZN,8 Noyabr m.,3 otaqlı,148 m²,27/27 mərtəbə
99 000,AZN,Massiv V q.,2 otaqlı,45 m²,4/9 mərtəbə
343 000,AZN,Nəriman Nərimanov m.,4 otaqlı,100 m²,1/9 mərtəbə
75 000,AZN,Masazır q.,2 otaqlı,60 m²,5/6 mərtəbə
193 000,AZN,Gənclik m.,2 otaqlı,55 m²,2/9 mərtəbə
410 000,AZN,8 Noyabr m.,3 otaqlı,148 m²,13/27 mərtəbə
263 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,95 m²,5/16 mərtəbə
175 000,AZN,Xalqlar Dostluğu m.,3 otaqlı,85 m²,6/9 mərtəbə
280 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,111 m²,5/24 mərtəbə
160 000,AZN,Xalqlar Dostluğu m.,4 otaqlı,95 m²,5/5 mərtəbə
361 300,AZN,Gənclik m.,2 otaqlı,78.2 m²,12/18 mərtəbə
720 000,AZN,28 May m.,4 otaqlı,220 m²,6/17 mərtəbə
115 000,AZN,Xalqlar Dostluğu m.,2 otaqlı,50 m²,1/5 mərtəbə
250 000,AZN,Nəsimi r.,2 otaqlı,78 m²,8/17 mərtəbə
240 000,AZN,Yeni Yasamal q.,3 otaqlı,130 m²,9/16 mərtəbə
329 000,AZN,8 Noyabr m.,4 otaqlı,145 m²,8/18 mərtəbə
92 000,AZN,Xalqlar Dostluğu m.,1 otaqlı,30 m²,5/5 mərtəbə
370 000,AZN,28 May m.,3 otaqlı,135 m²,10/17 mərtəbə
96 000,AZN,Hövsan q.,3 otaqlı,77 m²,10/12 mərtəbə
270 000,AZN,Nərimanov r.,2 otaqlı,63 m²,10/14 mərtəbə
269 000,AZN,Elmlər Akademiyası m.,3 otaqlı,105 m²,15/17 mərtəbə
450 000,AZN,Nəsimi r.,3 otaqlı,165 m²,8/17 mərtəbə
103 000,AZN,Qara Qarayev m.,2 otaqlı,50 m²,5/5 mərtəbə
136 000,AZN,Elmlər Akademiyası m.,2 otaqlı,52 m²,1/5 mərtəbə
150 000,AZN,Gənclik m.,2 otaqlı,52 m²,2/5 mərtəbə
210 775,AZN,Nərimanov r.,2 otaqlı,84.3 m²,8/14 mərtəbə
94 000,AZN,Həzi Aslanov m.,2 otaqlı,45 m²,5/12 mərtəbə
142 000,AZN,Əhmədli q.,3 otaqlı,85 m²,1/9 mərtəbə
190 000,AZN,Yeni Yasamal q.,3 otaqlı,96 m²,4/12 mərtəbə
270 000,AZN,Gənclik m.,2 otaqlı,85 m²,8/15 mərtəbə
165 000,AZN,Nəsimi r.,1 otaqlı,50 m²,8/18 mərtəbə
358 000,AZN,Nəsimi r.,3 otaqlı,130 m²,9/17 mərtəbə
276 120,AZN,28 May m.,2 otaqlı,70.8 m²,3/16 mərtəbə
276 120,AZN,28 May m.,2 otaqlı,70.8 m²,7/16 mərtəbə
120 000,AZN,Həzi Aslanov m.,2 otaqlı,52 m²,4/9 mərtəbə
315 020,AZN,28 May m.,2 otaqlı,82.9 m²,10/16 mərtəbə
289 000,AZN,Qara Qarayev m.,2 otaqlı,106 m²,5/19 mərtəbə
315 020,AZN,28 May m.,2 otaqlı,82.9 m²,12/16 mərtəbə
280 000,AZN,8 Noyabr m.,3 otaqlı,108 m²,2/7 mərtəbə
315 020,AZN,28 May m.,2 otaqlı,82.9 m²,11/16 mərtəbə
315 020,AZN,28 May m.,2 otaqlı,82.9 m²,13/16 mərtəbə
